date_line,index_capital_line
2011-09-23 00:00:00.005,2669.478
2011-09-26 00:00:00.005,2610.919
2011-09-27 00:00:00.005,2637.879
2011-09-28 00:00:00.005,2610.59
2011-09-29 00:00:00.005,2588.185
2011-09-30 00:00:00.005,2581.351
2011-10-10 00:00:00.005,2557.082
2011-10-11 00:00:00.005,2551.994
2011-10-12 00:00:00.005,2644.758
2011-10-13 00:00:00.005,2662.601
2011-10-14 00:00:00.005,2653.782
2011-10-17 00:00:00.005,2666.951
2011-10-18 00:00:00.005,2592.209
2011-10-19 00:00:00.005,2583.081
2011-10-20 00:00:00.005,2520.532
2011-10-21 00:00:00.005,2507.877
2011-10-24 00:00:00.005,2576.669
2011-10-25 00:00:00.005,2625.425
2011-10-26 00:00:00.005,2651.652
2011-10-27 00:00:00.005,2657.478
2011-10-28 00:00:00.005,2709.017
2011-10-31 00:00:00.005,2695.307
2011-11-01 00:00:00.005,2697.534
2011-11-02 00:00:00.005,2742.39
2011-11-03 00:00:00.005,2744.301
2011-11-04 00:00:00.005,2763.746
2011-11-07 00:00:00.005,2736.248
2011-11-08 00:00:00.005,2727.71
2011-11-09 00:00:00.005,2751.654
2011-11-10 00:00:00.005,2699.588
2011-11-11 00:00:00.005,2695.002
2011-11-14 00:00:00.005,2750.195
2011-11-15 00:00:00.005,2744.68
2011-11-16 00:00:00.005,2670.116
2011-11-17 00:00:00.005,2662.017
2011-11-18 00:00:00.005,2606.495
2011-11-21 00:00:00.005,2609.687
2011-11-22 00:00:00.005,2609.475
2011-11-23 00:00:00.005,2584.011
2011-11-24 00:00:00.005,2588.915
2011-11-25 00:00:00.005,2569.973
2011-11-28 00:00:00.005,2573.321
2011-11-29 00:00:00.005,2608.569
2011-11-30 00:00:00.005,2521.52
2011-12-01 00:00:00.005,2583.613
2011-12-02 00:00:00.005,2557.311
2011-12-05 00:00:00.005,2521.385
2011-12-06 00:00:00.005,2516.341
2011-12-07 00:00:00.005,2528.228
2011-12-08 00:00:00.005,2525.001
2011-12-09 00:00:00.005,2503.461
2011-12-12 00:00:00.005,2477.692
2011-12-13 00:00:00.005,2421.928
2011-12-14 00:00:00.005,2397.48
2011-12-15 00:00:00.005,2340.788
2011-12-16 00:00:00.005,2390.129
2011-12-19 00:00:00.005,2384.408
2011-12-20 00:00:00.005,2377.073
2011-12-21 00:00:00.005,2339.108
2011-12-22 00:00:00.005,2341.335
2011-12-23 00:00:00.005,2359.159
2011-12-26 00:00:00.005,2335.702
2011-12-27 00:00:00.005,2305.035
2011-12-28 00:00:00.005,2307.928
2011-12-29 00:00:00.005,2311.361
2011-12-30 00:00:00.005,2345.742
2012-01-04 00:00:00.005,2298.753
2012-01-05 00:00:00.005,2276.385
2012-01-06 00:00:00.005,2290.601
2012-01-09 00:00:00.005,2368.57
2012-01-10 00:00:00.005,2447.349
2012-01-11 00:00:00.005,2435.608
2012-01-12 00:00:00.005,2435.219
2012-01-13 00:00:00.005,2394.334
2012-01-16 00:00:00.005,2345.649
2012-01-17 00:00:00.005,2460.601
2012-01-18 00:00:00.005,2422.189
2012-01-19 00:00:00.005,2468.35
2012-01-20 00:00:00.005,2504.086
2012-01-30 00:00:00.005,2460.72
2012-01-31 00:00:00.005,2464.26
2012-02-01 00:00:00.005,2428.994
2012-02-02 00:00:00.005,2486.238
2012-02-03 00:00:00.005,2506.09
2012-02-06 00:00:00.005,2504.322
2012-02-07 00:00:00.005,2457.954
2012-02-08 00:00:00.005,2528.236
2012-02-09 00:00:00.005,2529.231
2012-02-10 00:00:00.005,2533.624
2012-02-13 00:00:00.005,2531.981
2012-02-14 00:00:00.005,2522.107
2012-02-15 00:00:00.005,2549.607
2012-02-16 00:00:00.005,2536.074
2012-02-17 00:00:00.005,2537.086
2012-02-20 00:00:00.005,2540.706
2012-02-21 00:00:00.005,2562.453
2012-02-22 00:00:00.005,2597.476
2012-02-23 00:00:00.005,2606.256
2012-02-24 00:00:00.005,2648.017
2012-02-27 00:00:00.005,2656.573
2012-02-28 00:00:00.005,2662.463
2012-02-29 00:00:00.005,2634.143
2012-03-01 00:00:00.005,2633.345
